Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
Dar Al Iman InterContinental,فندق دار الايمان انتركونتنتال,Madinah,1988,2-Star,Active,219338
SHAKIR AL GHAZA HOTEL,فندق شاكر الغزة الفندقية,Makkah,10009449,1-Star,Active,221575
Dar Al Wafedeen Hotel,فندق دار الوافدين الفندقية,Makkah,10009484,1-Star,Active,239458
nuzul rawabi alwahaj,نزل روابي الوهج للنزل السياحيه,Makkah,10009499,Unclassified/Other,Active,243035
LULAH AJYAD HOTEL,فندق لؤلؤة اجياد للايواء السياحي,Makkah,10009498,1-Star,Active,221005
ethar alwahaj hotel,فندق إيثار الوهج الفندقية,Makkah,10009500,1-Star,Active,241174
Park Royal Hotel Company,شركة بارك رويال الفندقية,Makkah,10009547,3-Star,Active,209536
Asrar Al-Ti Service Company for Hotel Services,شركة اسرار التيسير للخدمات الفندقيه,Makkah,10009556,1-Star,Active,230579
Kanf Hotel,شركة كنف الفندقية,Makkah,10009553,1-Star,Active,259375
Company EJIAD ALBAET Hotel,شركة اجياد البيت الفندقية,Makkah,10002275,3-Star,Active,210077
DIAFAT ALRAJAA HOTEL,فندق ضيافة الرجاء,Makkah,10001158,3-Star,Active,45518
BORJ AL DEAFAH HOTEL,فندق برج الضيافة الفندقية,Makkah,10001435,1-Star,Active,224579
Novotel Thakher Hotel,فندق نوفوتيل ذاخر الفندقية,Makkah,10002107,4-Star,Active,220403
Makarem Umm Al Qura Hotel,فندق مكارم أم القرى,Makkah,10002241,Unclassified/Other,Active,220998
MASARAT AL KHALIL HOTEL,شركة مسارات الخليل,Makkah,10002446,Unclassified/Other,Active,221978
MASARAT SILVER HOTEL,فندق مسارات الفضي الفندقية,Makkah,10002441,Unclassified/Other,Active,221856
Snood Al Rayyan Hotel,فندق سنود الريان للخدمات الفندقيه,Makkah,10001983,2-Star,Active,254520
al ahbab al kobra hotel,فندق الاحباب الكبرى الفندقية,Makkah,10002233,1-Star,Active,246588
Mysk Albalad Rawafed,شركة البلد روافد الفندقية,Madinah,10002215,3-Star,Active,230278
Mira Mar Hotel,فندق ميرا مار الفندقية,Madinah,10002161,1-Star,Active,269340
Makkah Hotel & Towers,شركة فندق ابراج شركة مكه الفندقية شركة شخص واحد,Makkah,10000983,1-Star,Active,219628
alekhwa tabarak hotel,فندق الاخوة تبارك الفندقية,Makkah,10002062,1-Star,Active,290679
Hajar Tower Real Estate Company Limited Movenpick,شركة برج هاجر العقارية المحدودة,Makkah,10001330,4-Star,Active,33661
Ajwad Ajyad Hotel,فندق أجواد أجياد,Makkah,10001556,1-Star,Active,218429
funduq jawharat alshariea,فندق جوهرة الشريعة الفندقية,Makkah,10002483,1-Star,Active,219117
Hasanah suites,شقق أجنحة حسنة للشقق المخدومة,Madinah,10002000,2-Star,Active,254995
Odest Hotel,فندق اوديست المدينة,Madinah,10001866,Unclassified/Other,Active,235749
ABEER AL DEAFAH HOTEL,فندق عبير الضيافة الفندقية,Makkah,10001875,1-Star,Active,228120
nusl hotel company,شركة فندق نسك المدينة المحدودة,Madinah,10000988,1-Star,Active,239197
Nour Al Raqia for Serviced Apartments,شقق نور الراقية للوحدات السكنية,Madinah,10001835,2-Star,Active,259361
Jawad Al Taj Hotel,فندق جواد التاج الفندقية,Makkah,10001850,Unclassified/Other,Active,221395
Nada Alsalam Hotel,فندق ندى السلام الفندقية,Madinah,10002329,1-Star,Active,274138
Company Pradais Ness Hotel,شركة برادايس نيس الفندقية,Makkah,10001130,1-Star,Active,241441
alZhil alAjnihah Hotel Hotel Establishment,مؤسسة فندق الظل الأجنحة الفندقية,Makkah,10001692,Unclassified/Other,Active,302756
Violet Three Hotel,فندق فيوليت ثلاثة الفندقية,Makkah,10000966,2-Star,Active,211570
Tharawat Al-Khalil Hotel,فندق ثروات الخليل,Makkah,10002200,1-Star,Active,244436
Suleiman Musa Al-Olayan Diamond Hotel,فندق سليمان موسى العليان الفندقية,Makkah,10002506,1-Star,Active,253964
Nuzhat Al Naseem Hotel,فندق نزهة النسيم الفندقية,Makkah,10001665,1-Star,Active,282793
TAIF ALNEBRAS HOTEL,فندق طيف النبراس الفندقية,Madinah,10002279,Unclassified/Other,Active,287499
DIARY HOTEL COMPANY,شركة دياري الفندقية شركة شخص واحد,Makkah,10002093,1-Star,Active,107094
wahat al deafah hotel,فندق واحة الضيافة الفندقية,Makkah,10002047,2-Star,Active,95495
Ajyad Aljiwar Hotel,فندق أجياد الجوار الفندقية,Makkah,10002267,1-Star,Active,220571
SEDAIR KARAH HOTEL,فندق سدير كرم الفندقية,Makkah,10001652,1-Star,Active,211733
SYOOF ALSHUHADAA HOTEL,فندق سيوف الشهداء الفندقية,Makkah,10000538,1-Star,Active,221024
MAATHER ALDIYAFA,شركة مأثر الضيافة لخدمات المعتمرين  ,Makkah,10001669,4-Star,Active,254106
Rawdat Al shrroq hotel,فندق روضة الشروق الفندقية,Makkah,10002156,Unclassified/Other,Active,289335
Ghala Al Taj Hotel,فندق غلا التاج ,Makkah,10001865,Unclassified/Other,Active,290137
amal abdullazez,شقق مسكن الجواد للشقق المخدومة,Madinah,10001284,Code 27,Active,301475
Afraa Hotel,فندق عفراء الفندقية,Makkah,10000993,3-Star,Active,218631
Al Masa Private Limited Company,شركة الماسة الخاصة المحدودة,Makkah,10002514,3-Star,Active,219022
Areej Alwafa Hotel,فندق أريج الوفاء الفندقية,Makkah,10002505,Unclassified/Other,Active,232382
Holiday inn Hotel,فندق هوليدي إن بكة الفندقية,Makkah,10002352,Unclassified/Other,Active,221117
REHAB AL MOHABBAH HOTEL,فندق رحاب المحبة,Makkah,10002170,1-Star,Active,94815
Jabal Omar Hilton Suite,فندق جبل عمر اجنحة هيلتون,Makkah,10002500,4-Star,Active,219569
Rabwah Al Safwa Hotel,فندق ربوة الصفوة فرع شركة الريان المكية المحدودة,Makkah,10001671,Unclassified/Other,Active,291776
manazil alrahma hotel,فندق منازل الرحمة الفندقية,Madinah,10002137,Unclassified/Other,Active,289295
Makkah Royal Hotel,فندق مكة رويال,Makkah,10002100,1-Star,Active,289155
manar al sheroq hotel,فندق منار الشروق الفندقية,Makkah,10002204,Unclassified/Other,Active,293357
Jayan Hotel,فندق جيان فرع شركة جيان العالمية المحدودة,Makkah,10001992,1-Star,Active,211514
ANJUM HOTELS,شركة أنجم لتشغيل الفنادق,Makkah,10001487,5-Star,Active,219501
Hayah Grand Hotel,فندق حياة جراند,Madinah,10001329,Unclassified/Other,Active,290055
RAMADA by Wyndham Makkah Zad Plus,شركة رمادا زاد بلس الفندقية,Makkah,10002141,4-Star,Active,213720
Altalaea Hotels,شركة الطلائع الفندقية,Makkah,10005693,Unclassified/Other,Active,289015
Arafat Golden Company,شركة عرفات الذهبية,Makkah,10002004,2-Star,Active,219402
Bright Hotel,فندق برايت الفندقية,Makkah,10005125,2-Star,Active,222092
Saraya Al-Sultans Hotel,فندق سرايا السلاطين الفندقية,Makkah,10004431,1-Star,Active,248543
Doubletree By Hilton Jabal Omar Makkah,فندق جبل عمر دبل تري باي هيلتون,Makkah,10002349,4-Star,Active,219590
ALZAHRA ALRAQI HOTEL,فندق الزهراء الراقي للايواء السياحي,Madinah,10001821,Unclassified/Other,Active,292235
Mohammed Al-Sbitani Hotel Apartments,شقق محمد السبيتاني للشقق الفندقية,Makkah,10001343,2-Star,Active,271415
Retaj Al Hayat Hotel Operations Company,مؤسسة رتاج الحياة لتشغيل الفنادق,Makkah,10002213,1-Star,Active,209614
Azka ALmaqam hotel,فندق أزكى المقام الفندقية,Makkah,10002212,1-Star,Active,197448
Golden Falah Homes Hotel,فندق منازل الفلاح الذهبي الفندقية,Madinah,10001735,Unclassified/Other,Active,259315
