Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
Dar Al Iman InterContinental,فندق دار الايمان انتركونتنتال,Madinah,1988,2-Star,Active,219338
Mysk Albalad Rawafed,شركة البلد روافد الفندقية,Madinah,10002215,3-Star,Active,230278
Mira Mar Hotel,فندق ميرا مار الفندقية,Madinah,10002161,1-Star,Active,269340
Hasanah suites,شقق أجنحة حسنة للشقق المخدومة,Madinah,10002000,2-Star,Active,254995
Odest Hotel,فندق اوديست المدينة,Madinah,10001866,Unclassified/Other,Active,235749
nusl hotel company,شركة فندق نسك المدينة المحدودة,Madinah,10000988,1-Star,Active,239197
Nour Al Raqia for Serviced Apartments,شقق نور الراقية للوحدات السكنية,Madinah,10001835,2-Star,Active,259361
Nada Alsalam Hotel,فندق ندى السلام الفندقية,Madinah,10002329,1-Star,Active,274138
TAIF ALNEBRAS HOTEL,فندق طيف النبراس الفندقية,Madinah,10002279,Unclassified/Other,Active,287499
amal abdullazez,شقق مسكن الجواد للشقق المخدومة,Madinah,10001284,Code 27,Active,301475
manazil alrahma hotel,فندق منازل الرحمة الفندقية,Madinah,10002137,Unclassified/Other,Active,289295
Hayah Grand Hotel,فندق حياة جراند,Madinah,10001329,Unclassified/Other,Active,290055
ALZAHRA ALRAQI HOTEL,فندق الزهراء الراقي للايواء السياحي,Madinah,10001821,Unclassified/Other,Active,292235
Golden Falah Homes Hotel,فندق منازل الفلاح الذهبي الفندقية,Madinah,10001735,Unclassified/Other,Active,259315
GRAND SAFI HOTEL,جراند الصافي,Madinah,10002298,1-Star,Active,235835
Maghreb Hotel,فندق المغاربي للشقق الفندقية,Madinah,10001433,2-Star,Active,242930
HOTEL THREE POINT ALKAWTHER,فندق ثلاثة نقاط الكوثر,Madinah,10001761,Unclassified/Other,Active,235880
BOSPHORUS HOTELS,فندق البسفور(1),Madinah,10001335,3-Star,Active,235826
